# One row per whole TEST initially. Split selector into comma-separated OBEY sections after manual review.
suite	test	selector	classification	milestone	disposition	blocker	evidence
executor	TEST014	all	portable	M10	runnable	none	core/sql/regress/executor/TEST014:43
executor	TEST015	all	compiler-tool	M2	unsafe	MERGE-test-inseparable-from-external-embedded-SQL-C-build-and-run	core/sql/regress/executor/TEST015:534
executor	TEST016	all	service-stack	M7	unsafe	external-java-helper	core/sql/regress/executor/TEST016
executor	TEST020	all	service-stack	M7	unsafe	AQR-requires-external-concurrent-sqlci-session	core/sql/regress/executor/TEST020:99
executor	TEST022	all	service-stack	M7	unsafe	transaction-input-generated-by-shell-and-external-OBEY	core/sql/regress/executor/TEST022:86
executor	TEST025	all	portable	M4	blocked	CQD-branch-and-MDAM-plan-error-2105;reprobe-2026-08-12	core/sql/regress/executor/TEST025:72
executor	TEST050	all	portable	M4	runnable	none	core/sql/regress/liteLegacy/reprobe-m2-m6-2026-08-12.tsv
executor	TEST063	cleanup,crtab,seltab,negtests,derived,scalar_agg,rows_since,SCBUG_Q1,SCBUG_Q2,SCBUG_Q3,SCBUG_Q4,SCBUG_Q5,SCBUG_Q6,olapcrtab,olapdroptable	portable	M7	blocked	window-OLAP-and-ESP-error-2013;also-VIEW;30s-section-timeout	core/sql/regress/executor/TEST063:53
executor	TEST063	olaptest	service-stack	M7	unsafe	external-COMPARE-and-shell-diff-pipeline	core/sql/regress/executor/TEST063:1966
executor	TEST101	all	portable	M10	runnable	none	core/sql/regress/executor/TEST101:294
executor	TEST106	all	service-stack	M7	unsafe	cancel-tests-require-background-sqlci-processes-and-runtime-statistics	core/sql/regress/executor/TEST106:248
executor	TEST107	all	service-stack	M7	unsafe	sqlci-post-session-segfault-139-after-large-sort-test	core/sql/regress/executor/TEST107:145
executor	TEST122	test_drop_index,clnup	portable	M3	blocked	plan-table-scan-instead-of-index-scan-and-hash-value-diff;reprobe-2026-08-12	core/sql/regress/executor/TEST122:312
executor	TEST122	all	service-stack	M7	unsafe	drop-cache-tests-require-external-sqlci-sessions-log-grep-and-sbdefs	core/sql/regress/executor/TEST122:102
executor	TEST130	all	service-stack	M6	unsafe	LOB-suite-requires-local-HDFS-files-shell-generated-OBEY-and-CLI-driver	core/sql/regress/executor/TEST130:224
executor	TEST131	all	hbase-physical	-	excluded	HBase-small-scanner-blocksize-and-fresh-session-plan-test	core/sql/regress/executor/TEST131:35
executor	TEST140	all	mixed	-	excluded	inseparable-Hive-load-and-HBase-physical-options	core/sql/regress/executor/TEST140:85
fullstack2	TEST062	all	service-stack	M7	unsafe	shell-and-TESTABORT	core/sql/regress/fullstack2/TEST062
privs1	TEST120	all	authorization	M8	unsafe	multi-user-shell-helper	core/sql/regress/privs1/TEST120
privs1	TEST123	all	authorization	M8	unsafe	multi-user-shell-helper	core/sql/regress/privs1/TEST123
privs1	TEST125	all	authorization	M8	unsafe	multi-user-shell-helper	core/sql/regress/privs1/TEST125
privs1	TEST132	all	authorization	M8	unsafe	multi-user-shell-helper	core/sql/regress/privs1/TEST132
privs1	TEST133	all	authorization	M8	unsafe	multi-user-shell-helper	core/sql/regress/privs1/TEST133
privs1	TEST136	all	authorization	M8	blocked	authorization-metadata	core/sql/regress/privs1/TEST136
privs1	TEST137	all	authorization	M8	unsafe	multi-user-shell-helper	core/sql/regress/privs1/TEST137
privs1	TEST141	all	authorization	M8	unsafe	multi-user-native-library-helper	core/sql/regress/privs1/TEST141
privs2	TEST129	all	authorization	M8	unsafe	multi-user-shell-helper	core/sql/regress/privs2/TEST129
privs2	TEST135	all	authorization	M8	unsafe	multi-user-shell-helper	core/sql/regress/privs2/TEST135
privs2	TEST138	all	authorization	M8	unsafe	multi-user-shell-helper	core/sql/regress/privs2/TEST138
privs2	TEST139	all	authorization	M8	unsafe	multi-user-shell-helper	core/sql/regress/privs2/TEST139
privs2	TEST140	all	authorization	M8	unsafe	multi-user-shell-helper	core/sql/regress/privs2/TEST140
privs2	TEST142	all	authorization	M8	unsafe	multi-user-shell-helper	core/sql/regress/privs2/TEST142
privs2	TEST143	all	authorization	M8	unsafe	multi-user-shell-helper	core/sql/regress/privs2/TEST143
privs2	TEST144	all	authorization	M8	unsafe	multi-user-UDR-helper	core/sql/regress/privs2/TEST144
privs2	TEST146	all	hbase-physical	-	excluded	native-HBase-table-privileges	core/sql/regress/privs2/TEST146
seabase	TEST001	all	hbase-physical	-	excluded	HBase-versions-timestamps-and-options	core/sql/regress/seabase/TEST001:22
seabase	TEST002	all	hbase-physical	-	excluded	HBase-region-cluster-statistics-and-Hive-metadata	core/sql/regress/seabase/TEST002:44
seabase	TEST003	setup_tiny,dml_tiny,errors_tiny,setup_lu,dml_lu,errors_lu,setup_bool,dml_bool,errors_bool,dml_bool_short,clean_up	portable	M6	blocked	INVOKE-format-and-TINYINT-DML-diagnostic-diff;reprobe-2026-08-12	core/sql/regress/seabase/TEST003:82
seabase	TEST003	hive_tiny,hive_bool	hive	-	excluded	Hive-type-integration-and-external-Hive-shell-loader	core/sql/regress/seabase/TEST003:144
seabase	TEST004	setup_binary,dml_binary,errors_binary	portable	M6	blocked	BINARY-INVOKE-type-rendering-and-cast-diagnostic-diff;reprobe-2026-08-12	core/sql/regress/seabase/TEST004:44
seabase	TEST004	hive_binary	hive	-	excluded	Hive-binary-integration-and-external-Hive-shell-loader	core/sql/regress/seabase/TEST004:147
seabase	TEST010	all	mixed	M7	unsafe	preamble-volatile-cleanup-segfault-risk;also-HBase-MDAM	core/sql/regress/seabase/TEST010:41
seabase	TEST011	all	service-stack	M7	unsafe	sqlci-post-session-segfault-139-after-repository-HBase-DML-test	core/sql/regress/seabase/TEST011:323
seabase	TEST012	ddl,tests,negtests	hbase-physical	-	excluded	HBase-serialization-coprocessor-filter-sections	core/sql/regress/seabase/TEST012:29
seabase	TEST012	schemaDrop,getStmts	portable	M4	runnable	none	core/sql/regress/liteLegacy/reprobe-m2-m6-2026-08-12.tsv
seabase	TEST013	all	hbase-physical	-	excluded	HBase-range-partition-split	core/sql/regress/seabase/TEST013
seabase	TEST014	all	hbase-physical	-	excluded	HBase-storage-options	core/sql/regress/seabase/TEST014
seabase	TEST016	all	hbase-physical	-	excluded	HBase-multicolumn-partition-split	core/sql/regress/seabase/TEST016
seabase	TEST018	all	hbase-physical	-	excluded	HBase-hash-partitioning	core/sql/regress/seabase/TEST018
seabase	TEST020	all	mixed	M4	blocked	INVOKE-SHOWDDL-diff-and-30s-timeout-in-constraint-matrix;reprobe-2026-08-12	core/sql/regress/seabase/TEST020:100
seabase	TEST021	all	service-stack	M7	unsafe	metadata-upgrade-shell-helper	core/sql/regress/seabase/TEST021
seabase	TEST022	all	hbase-physical	-	excluded	external-native-HBase-tables	core/sql/regress/seabase/TEST022
seabase	TEST024	all	portable	M4	blocked	sequence-list-format-metadata-and-error-1390-diff;reprobe-2026-08-12	core/sql/regress/seabase/TEST024:124
seabase	TEST025	all	portable	M4	blocked	identity-SHOWDDL-sequence-exhaustion-and-error-text-diff;reprobe-2026-08-12	core/sql/regress/seabase/TEST025:53
seabase	TEST026	all	hbase-physical	-	excluded	metadata-corruption-cleanup-and-external-HBase-table-removal	core/sql/regress/seabase/TEST026:113
seabase	TEST027	all	hbase-physical	-	excluded	column-family-SALT-and-aligned-format-DDL	core/sql/regress/seabase/TEST027:42
seabase	TEST028	all	hbase-physical	-	excluded	external-HBase-statistics	core/sql/regress/seabase/TEST028
seabase	TEST030	all	portable	M6	blocked	DATEFORMAT-USA-AM-rendering-and-diagnostic-diff;reprobe-2026-08-12	core/sql/regress/seabase/TEST030:385
seabase	TEST031	all	mixed	-	excluded	unsectioned-portable-and-Hive-regress-body-with-external-Hive-shell-loader	core/sql/regress/seabase/TEST031:180
seabase	TEST032	all	portable	M4	blocked	INVOKE-SHOWDDL-format-and-cast-error-8413-diff;reprobe-2026-08-12	core/sql/regress/seabase/TEST032:117
seabase	TEST033	all	mixed	-	excluded	inseparable-SALT-partition-and-ESP-section	core/sql/regress/seabase/TEST033:156
seabase	TEST040	all	hbase-physical	-	excluded	SALT-CREATE-TABLE-LIKE-and-storage-key-DDL	core/sql/regress/seabase/TEST040:38
udr	TEST001	all	udr	M9	unsafe	native-and-Java-UDR-helper	core/sql/regress/udr/TEST001
udr	TEST002	all	udr	M9	unsafe	native-UDR-helper	core/sql/regress/udr/TEST002
udr	TEST100	all	udr	M9	unsafe	library-helper	core/sql/regress/udr/TEST100
udr	TEST101	all	udr	M9	unsafe	Java-UDR-helper	core/sql/regress/udr/TEST101
udr	TEST102	all	udr	M9	unsafe	library-helper	core/sql/regress/udr/TEST102
udr	TEST103	all	udr	M9	unsafe	native-and-Java-UDR-helper	core/sql/regress/udr/TEST103
udr	TEST107	all	udr	M9	unsafe	native-UDR-helper	core/sql/regress/udr/TEST107
udr	TEST108	all	udr	M9	blocked	UDR-runtime	core/sql/regress/udr/TEST108
udr	TEST163	all	udr	M9	unsafe	native-UDR-helper	core/sql/regress/udr/TEST163
